Idiom	WiktionaryURL	Pos	Neg	Neu	Inapprop.	Total	%Pos	%Neg	%Neu	Maj. Label	FilterOut(X)
American Dream	https://en.wiktionary.org/wiki/American_Dream	8	0	2	0	10	0.800	0.000	0.200	positive	
Catch-22	https://en.wiktionary.org/wiki/Catch-22	0	7	3	0	10	0.000	0.700	0.300	negative	
Christmas present	https://en.wiktionary.org/wiki/Christmas_present	6	0	4	0	10	0.600	0.000	0.400	positive	
Downing Street	https://en.wiktionary.org/wiki/Downing_Street	0	0	10	0	10	0.000	0.000	1.000	neutral	
Dutch courage	https://en.wiktionary.org/wiki/Dutch_courage	2	2	6	0	10	0.200	0.200	0.600	neutral	
Dutch oven	https://en.wiktionary.org/wiki/Dutch_oven	0	0	10	0	10	0.000	0.000	1.000	neutral	
Elysian Fields	https://en.wiktionary.org/wiki/Elysian_Fields	8	0	2	0	10	0.800	0.000	0.200	positive	
Evel Knievel	https://en.wiktionary.org/wiki/Evel_Knievel	0	4	6	0	10	0.000	0.400	0.600	neutral	
Faustian bargain	https://en.wiktionary.org/wiki/Faustian_bargain	0	5	5	0	10	0.000	0.500	0.500	negative	
Gary Glitter	https://en.wiktionary.org/wiki/Gary_Glitter	0	2	4	4	10	0.000	0.200	0.400	neutral	
God forbid	https://en.wiktionary.org/wiki/God_forbid	0	6	4	0	10	0.000	0.600	0.400	negative	
God's work	https://en.wiktionary.org/wiki/God's_work	6	0	4	0	10	0.600	0.000	0.400	positive	
Great Britain and Ireland	https://en.wiktionary.org/wiki/Great_Britain_and_Ireland	1	0	9	0	10	0.100	0.000	0.900	neutral	
I can tell you	https://en.wiktionary.org/wiki/I_can_tell_you	1	0	9	0	10	0.100	0.000	0.900	neutral	
I do	https://en.wiktionary.org/wiki/I_do	5	0	5	0	10	0.500	0.000	0.500	positive	X
I never did	https://en.wiktionary.org/wiki/I_never_did	1	0	9	0	10	0.100	0.000	0.900	neutral	
I rest my case	https://en.wiktionary.org/wiki/I_rest_my_case	2	0	7	1	10	0.200	0.000	0.700	neutral	
I take it	https://en.wiktionary.org/wiki/I_take_it	0	0	10	0	10	0.000	0.000	1.000	neutral	
I wish	https://en.wiktionary.org/wiki/I_wish	0	0	10	0	10	0.000	0.000	1.000	neutral	
I would	https://en.wiktionary.org/wiki/I_would	0	0	10	0	10	0.000	0.000	1.000	neutral	
I'd say	https://en.wiktionary.org/wiki/I'd_say	0	0	10	0	10	0.000	0.000	1.000	neutral	
I'll be	https://en.wiktionary.org/wiki/I'll_be	0	2	8	0	10	0.000	0.200	0.800	neutral	
I'll be damned	https://en.wiktionary.org/wiki/I'll_be_damned	2	2	5	1	10	0.200	0.200	0.500	neutral	
I'll say	https://en.wiktionary.org/wiki/I'll_say	1	0	9	0	10	0.100	0.000	0.900	neutral	
Jane Doe	https://en.wiktionary.org/wiki/Jane_Doe	0	0	10	0	10	0.000	0.000	1.000	neutral	
Joe Public	https://en.wiktionary.org/wiki/Joe_Public	0	0	10	0	10	0.000	0.000	1.000	neutral	
John Doe	https://en.wiktionary.org/wiki/John_Doe	0	0	10	0	10	0.000	0.000	1.000	neutral	
John Hancock	https://en.wiktionary.org/wiki/John_Hancock	0	0	10	0	10	0.000	0.000	1.000	neutral	
John Henry	https://en.wiktionary.org/wiki/John_Henry	0	0	10	0	10	0.000	0.000	1.000	neutral	
John Thomas	https://en.wiktionary.org/wiki/John_Thomas	0	0	6	4	10	0.000	0.000	0.600	neutral	
Johnny-come-lately	https://en.wiktionary.org/wiki/Johnny-come-lately	0	1	9	0	10	0.000	0.100	0.900	neutral	
Last Supper	https://en.wiktionary.org/wiki/Last_Supper	0	0	10	0	10	0.000	0.000	1.000	neutral	
Lord's Supper	https://en.wiktionary.org/wiki/Lord's_Supper	0	0	10	0	10	0.000	0.000	1.000	neutral	
Main Street	https://en.wiktionary.org/wiki/Main_Street	0	0	10	0	10	0.000	0.000	1.000	neutral	
Mickey Mouse	https://en.wiktionary.org/wiki/Mickey_Mouse	0	2	8	0	10	0.000	0.200	0.800	neutral	
Midas touch	https://en.wiktionary.org/wiki/Midas_touch	10	0	0	0	10	1.000	0.000	0.000	positive	
Monday-morning quarterback	https://en.wiktionary.org/wiki/Monday-morning_quarterback	0	5	5	0	10	0.000	0.500	0.500	negative	
Monopoly money	https://en.wiktionary.org/wiki/Monopoly_money	0	3	7	0	10	0.000	0.300	0.700	neutral	
Number 10	https://en.wiktionary.org/wiki/Number_10	0	0	10	0	10	0.000	0.000	1.000	neutral	
Number 11	https://en.wiktionary.org/wiki/Number_11	0	0	10	0	10	0.000	0.000	1.000	neutral	
Number Ten	https://en.wiktionary.org/wiki/Number_Ten	0	0	10	0	10	0.000	0.000	1.000	neutral	
Oreo cookie	https://en.wiktionary.org/wiki/Oreo_cookie	0	0	9	1	10	0.000	0.000	0.900	neutral	
Prince of Darkness	https://en.wiktionary.org/wiki/Prince_of_Darkness	0	8	2	0	10	0.000	0.800	0.200	negative	
Promised Land	https://en.wiktionary.org/wiki/Promised_Land	9	0	1	0	10	0.900	0.000	0.100	positive	
Red Baron	https://en.wiktionary.org/wiki/Red_Baron	1	0	9	0	10	0.100	0.000	0.900	neutral	
Russian roulette	https://en.wiktionary.org/wiki/Russian_roulette	0	5	5	0	10	0.000	0.500	0.500	negative	
Santa's workshop	https://en.wiktionary.org/wiki/Santa's_workshop	2	0	8	0	10	0.200	0.000	0.800	neutral	
Sunday best	https://en.wiktionary.org/wiki/Sunday_best	7	0	3	0	10	0.700	0.000	0.300	positive	
Sussex Drive	https://en.wiktionary.org/wiki/Sussex_Drive	0	0	10	0	10	0.000	0.000	1.000	neutral	
Swiss bank account	https://en.wiktionary.org/wiki/Swiss_bank_account	3	0	7	0	10	0.300	0.000	0.700	neutral	
The End	https://en.wiktionary.org/wiki/The_End	0	2	8	0	10	0.000	0.200	0.800	neutral	
