idiom	patterns
american dream	"[[{""LEMMA"": {""REGEX"": ""(?i)^american$""}}, {""LEMMA"": {""REGEX"": ""(?i)^dream$""}}], [{""LEMMA"": {""REGEX"": ""(?i)^american$""}}, {""LEMMA"": {""REGEX"": ""(?i)^dream$""}}]]"
catch-22	"[[{""TEXT"": {""REGEX"": ""(?i)^catch$""}}, {""TEXT"": ""-"", ""OP"": ""?""}, {""TEXT"": {""REGEX"": ""(?i)^22$""}}], [{""TEXT"": {""REGEX"": ""(?i)^catch$""}}, {""TEXT"": ""-"", ""OP"": ""?""}, {""TEXT"": {""REGEX"": ""(?i)^22$""}}]]"
christmas present	"[[{""LEMMA"": {""REGEX"": ""(?i)^christmas$""}}, {""LEMMA"": {""REGEX"": ""(?i)^present$""}}]]"
downing street	"[[{""LEMMA"": {""REGEX"": ""(?i)^down$""}}, {""LEMMA"": {""REGEX"": ""(?i)^street$""}}]]"
elysian fields	"[[{""LEMMA"": {""REGEX"": ""(?i)^elysian$""}}, {""LEMMA"": {""REGEX"": ""(?i)^field$""}}]]"
faustian bargain	"[[{""LEMMA"": {""REGEX"": ""(?i)^faustian$""}}, {""LEMMA"": {""REGEX"": ""(?i)^bargain$""}}]]"
great britain and ireland	"[[{""LEMMA"": {""REGEX"": ""(?i)^great$""}}, {""LEMMA"": {""REGEX"": ""(?i)^britain$""}}, {""LEMMA"": {""REGEX"": ""(?i)^and$""}}, {""LEMMA"": {""REGEX"": ""(?i)^ireland$""}}]]"
I can tell you	"[[{""LEMMA"": {""REGEX"": ""(?i)^I$""}}, {""LEMMA"": {""REGEX"": ""(?i)^can$""}}, {""LEMMA"": {""REGEX"": ""(?i)^tell$""}}, {""LEMMA"": {""REGEX"": ""(?i)^you$""}}]]"
I never did	"[[{""LEMMA"": {""REGEX"": ""(?i)^I$""}}, {""LEMMA"": {""REGEX"": ""(?i)^never$""}}, {""LEMMA"": {""REGEX"": ""(?i)^do$""}}]]"
I rest my case	"[[{""LEMMA"": {""REGEX"": ""(?i)^I$""}}, {""LEMMA"": {""REGEX"": ""(?i)^rest$""}}, {""LEMMA"": {""REGEX"": ""(?i)^my$""}}, {""LEMMA"": {""REGEX"": ""(?i)^case$""}}]]"
I take it	"[[{""LEMMA"": {""REGEX"": ""(?i)^I$""}}, {""LEMMA"": {""REGEX"": ""(?i)^take$""}}, {""LEMMA"": {""REGEX"": ""(?i)^it$""}}]]"
I'll be damned	"[[{""LEMMA"": {""REGEX"": ""(?i)^I$""}}, {""LEMMA"": {""REGEX"": ""(?i)^'ll$""}}, {""LEMMA"": {""REGEX"": ""(?i)^be$""}}, {""LEMMA"": {""REGEX"": ""(?i)^damn$""}}]]"
johnny-come-lately	"[[{""TEXT"": {""REGEX"": ""(?i)^johnny$""}}, {""TEXT"": ""-"", ""OP"": ""?""}, {""TEXT"": {""REGEX"": ""(?i)^come$""}}, {""TEXT"": ""-"", ""OP"": ""?""}, {""TEXT"": {""REGEX"": ""(?i)^lately$""}}], [{""TEXT"": {""REGEX"": ""(?i)^jonny$""}}, {""TEXT"": ""-"", ""OP"": ""?""}, {""TEXT"": {""REGEX"": ""(?i)^come$""}}, {""TEXT"": ""-"", ""OP"": ""?""}, {""TEXT"": {""REGEX"": ""(?i)^lately$""}}]]"
monday-morning quarterback	"[[{""TEXT"": {""REGEX"": ""(?i)^monday$""}}, {""TEXT"": ""-"", ""OP"": ""?""}, {""TEXT"": {""REGEX"": ""(?i)^morning$""}}, {""TEXT"": {""REGEX"": ""(?i)^quarterback$""}}]]"
monopoly money	"[[{""LEMMA"": {""REGEX"": ""(?i)^monopoly$""}}, {""LEMMA"": {""REGEX"": ""(?i)^money$""}}]]"
prince of darkness	"[[{""LEMMA"": {""REGEX"": ""(?i)^prince$""}}, {""LEMMA"": {""REGEX"": ""(?i)^of$""}}, {""LEMMA"": {""REGEX"": ""(?i)^darkness$""}}]]"
russian roulette	"[[{""LEMMA"": {""REGEX"": ""(?i)^russian$""}}, {""LEMMA"": {""REGEX"": ""(?i)^roulette$""}}]]"
santa's workshop	"[[{""LEMMA"": {""REGEX"": ""(?i)^santa$""}}, {""LEMMA"": {""REGEX"": ""(?i)^'s$""}}, {""LEMMA"": {""REGEX"": ""(?i)^workshop$""}}]]"
swiss bank account	"[[{""LEMMA"": {""REGEX"": ""(?i)^swiss$""}}, {""LEMMA"": {""REGEX"": ""(?i)^bank$""}}, {""LEMMA"": {""REGEX"": ""(?i)^account$""}}]]"
tom, dick and harry	"[[{""LEMMA"": {""REGEX"": ""(?i)^tom$""}}, {""TEXT"": "","", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^dick$""}}, {""LEMMA"": {""REGEX"": ""(?i)^and$""}}, {""LEMMA"": {""REGEX"": ""(?i)^harry$""}}], [{""LEMMA"": {""REGEX"": ""(?i)^tom$""}}, {""TEXT"": "","", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^dick$""}}, {""LEMMA"": {""REGEX"": ""(?i)^or$""}}, {""LEMMA"": {""REGEX"": ""(?i)^harry$""}}]]"
trojan-horse	"[[{""TEXT"": {""REGEX"": ""(?i)^trojan$""}}, {""TEXT"": ""-"", ""OP"": ""?""}, {""TEXT"": {""REGEX"": ""(?i)^horse$""}}]]"
x's and o's	"[[{""LEMMA"": {""REGEX"": ""(?i)^x$""}}, {""LEMMA"": {""REGEX"": ""(?i)^'s$""}}, {""LEMMA"": {""REGEX"": ""(?i)^and$""}}, {""LEMMA"": {""REGEX"": ""(?i)^o$""}}, {""LEMMA"": {""REGEX"": ""(?i)^'s$""}}]]"
a bit much	"[[{""TEXT"": ""a"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^bit$""}}, {""LEMMA"": {""REGEX"": ""(?i)^much$""}}]]"
a bridge too far	"[[{""TEXT"": ""a"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^bridge$""}}, {""LEMMA"": {""REGEX"": ""(?i)^too$""}}, {""LEMMA"": {""REGEX"": ""(?i)^far$""}}]]"
a good deal	"[[{""TEXT"": ""a"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^good$""}}, {""LEMMA"": {""REGEX"": ""(?i)^deal$""}}]]"
a great deal	"[[{""TEXT"": ""a"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^great$""}}, {""LEMMA"": {""REGEX"": ""(?i)^deal$""}}]]"
a hair's breadth	"[[{""TEXT"": ""a"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^hair$""}}, {""LEMMA"": {""REGEX"": ""(?i)^'s$""}}, {""LEMMA"": {""REGEX"": ""(?i)^breadth$""}}]]"
a life of its own	"[[{""TEXT"": ""a"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^life$""}}, {""LEMMA"": {""REGEX"": ""(?i)^of$""}}, {""LEMMA"": {""REGEX"": ""(?i)^its$""}}, {""LEMMA"": {""REGEX"": ""(?i)^own$""}}]]"
a notch above	"[[{""TEXT"": ""a"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^notch$""}}, {""LEMMA"": {""REGEX"": ""(?i)^above$""}}]]"
above and beyond	"[[{""LEMMA"": {""REGEX"": ""(?i)^above$""}}, {""LEMMA"": {""REGEX"": ""(?i)^and$""}}, {""LEMMA"": {""REGEX"": ""(?i)^beyond$""}}]]"
above the law	"[[{""LEMMA"": {""REGEX"": ""(?i)^above$""}}, {""TEXT"": ""the"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^law$""}}]]"
accident of birth	"[[{""LEMMA"": {""REGEX"": ""(?i)^accident$""}}, {""LEMMA"": {""REGEX"": ""(?i)^of$""}}, {""LEMMA"": {""REGEX"": ""(?i)^birth$""}}]]"
accident waiting to happen	"[[{""LEMMA"": {""REGEX"": ""(?i)^accident$""}}, {""LEMMA"": {""REGEX"": ""(?i)^wait$""}}, {""LEMMA"": {""REGEX"": ""(?i)^to$""}}, {""LEMMA"": {""REGEX"": ""(?i)^happen$""}}]]"
